"ndex","name","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","form","lbs","kg","lightest","heaveiest","MegaOrPrimal","ft","m","inch","smallest","bigest"
300,"Skitty",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,24.3,11,329,853,NA,"2'00""",0.6,24,314,888
301,"Delcatty",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,71.9,32.6,617,565,NA,"3'07""",1.1,43,626,576
302,"Sableye",NA,"Dark","Ghost",3,FALSE,FALSE,FALSE,NA,NA,NA,24.3,11,330,852,NA,"1'08""",0.5,20,233,969
302,"Sableye",NA,"Dark","Ghost",3,FALSE,FALSE,FALSE,NA,NA,NA,354.9,161,1047,135,"Mega","1'08""",0.5,20,234,968
303,"Mawile",NA,"Steel","Fairy",3,FALSE,FALSE,FALSE,NA,NA,NA,25.4,11.5,340,842,NA,"2'00""",0.6,24,315,887
303,"Mawile",NA,"Steel","Fairy",3,FALSE,FALSE,FALSE,NA,NA,NA,51.8,23.5,512,670,"Mega","3'03""",1,39,564,638
304,"Aron",NA,"Steel","Rock",3,FALSE,FALSE,FALSE,NA,NA,NA,132.3,60,817,365,NA,"1'04""",0.4,16,149,1053
305,"Lairon",NA,"Steel","Rock",3,FALSE,FALSE,FALSE,NA,NA,NA,264.6,120,1002,180,NA,"2'11""",0.9,35,507,695
306,"Aggron",NA,"Steel","Rock",3,FALSE,FALSE,FALSE,NA,NA,NA,793.7,360,1140,42,NA,"6'11""",2.1,83,1062,140
306,"Aggron",NA,"Steel","Rock",3,FALSE,FALSE,FALSE,NA,NA,NA,870.8,395,1144,38,"Mega","7'03""",2.2,87,1077,125
307,"Meditite",NA,"Fighting","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,24.7,11.2,336,846,NA,"2'00""",0.6,24,316,886
308,"Medicham",NA,"Fighting","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,69.4,31.5,601,581,NA,"4'03""",1.3,51,743,459
309,"Electrike",NA,"Electric",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,33.5,15.2,405,777,NA,"2'00""",0.6,24,317,885
310,"Manectric",NA,"Electric",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,88.6,40.2,694,488,NA,"4'11""",1.5,59,839,363
310,"Manectric",NA,"Electric",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,97,44,720,462,"Mega","5'11""",1.8,71,974,228
311,"Plusle",NA,"Electric",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,9.3,4.2,159,1023,NA,"1'04""",0.4,16,150,1052
312,"Minun",NA,"Electric",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,9.3,4.2,160,1022,NA,"1'04""",0.4,16,151,1051
313,"Volbeat",NA,"Bug",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,39,17.7,436,746,NA,"2'04""",0.7,28,399,803
314,"Illumise",NA,"Bug",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,39,17.7,437,745,NA,"2'00""",0.6,24,318,884
315,"Roselia",NA,"Grass","Poison",3,FALSE,FALSE,FALSE,NA,NA,NA,4.4,2,81,1101,NA,"1'00""",0.3,12,57,1145
316,"Gulpin",NA,"Poison",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,22.7,10.3,316,866,NA,"1'04""",0.4,16,152,1050
317,"Swalot",NA,"Poison",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,176.4,80,896,286,NA,"5'07""",1.7,67,943,259
318,"Carvanha",NA,"Water","Dark",3,FALSE,FALSE,FALSE,NA,NA,NA,45.9,20.8,483,699,NA,"2'07""",0.8,31,462,740
319,"Sharpedo",NA,"Water","Dark",3,FALSE,FALSE,FALSE,NA,NA,NA,195.8,88.8,926,256,NA,"5'11""",1.8,71,975,227
319,"Sharpedo",NA,"Water","Dark",3,FALSE,FALSE,FALSE,NA,NA,NA,287.3,130.3,1019,163,"Mega","8'02""",2.5,98,1105,97
320,"Wailmer",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,286.6,130,1018,164,NA,"6'07""",2,79,1039,163
321,"Wailord",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,877.4,398,1145,37,NA,"47'07""",14.5,571,1199,3
322,"Numel",NA,"Fire","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,52.9,24,518,664,NA,"2'04""",0.7,28,400,802
323,"Camerupt",NA,"Fire","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,485,220,1087,95,NA,"6'03""",1.9,75,1010,192
323,"Camerupt",NA,"Fire","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,706.6,320.5,1125,57,"Mega","8'02""",2.5,98,1106,96
324,"Torkoal",NA,"Fire",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,177.3,80.4,898,284,NA,"1'08""",0.5,20,235,967
325,"Spoink",NA,"Psychic",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,67.5,30.6,593,589,NA,"2'04""",0.7,28,401,801
326,"Grumpig",NA,"Psychic",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,157.6,71.5,870,312,NA,"2'11""",0.9,35,508,694
327,"Spinda",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,11,5,176,1006,NA,"3'07""",1.1,43,627,575
328,"Trapinch",NA,"Ground",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,397,785,NA,"2'04""",0.7,28,402,800
329,"Vibrava",NA,"Ground","Dragon",3,FALSE,FALSE,FALSE,NA,NA,NA,33.7,15.3,407,775,NA,"3'07""",1.1,43,628,574
330,"Flygon",NA,"Ground","Dragon",3,FALSE,FALSE,FALSE,NA,NA,NA,180.8,82,908,274,NA,"6'07""",2,79,1040,162
331,"Cacnea",NA,"Grass",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,113.1,51.3,763,419,NA,"1'04""",0.4,16,153,1049
332,"Cacturne",NA,"Grass","Dark",3,FALSE,FALSE,FALSE,NA,NA,NA,170.6,77.4,883,299,NA,"4'03""",1.3,51,745,457
333,"Swablu",NA,"Normal","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,2.6,1.2,54,1128,NA,"1'04""",0.4,16,154,1048
334,"Altaria",NA,"Dragon","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,45.4,20.6,481,701,NA,"3'07""",1.1,43,629,573
334,"Altaria",NA,"Dragon","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,45.4,20.6,482,700,"Mega","4'11""",1.5,59,840,362
335,"Zangoose",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,88.8,40.3,695,487,NA,"4'03""",1.3,51,746,456
336,"Seviper",NA,"Poison",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,115.7,52.5,770,412,NA,"8'10""",2.7,106,1120,82
337,"Lunatone",NA,"Rock","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,370.4,168,1051,131,NA,"3'03""",1,39,565,637
338,"Solrock",NA,"Rock","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,339.5,154,1041,141,NA,"3'11""",1.2,47,679,523
339,"Barboach",NA,"Water","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,4.2,1.9,75,1107,NA,"1'04""",0.4,16,155,1047
340,"Whiscash",NA,"Water","Ground",3,FALSE,FALSE,FALSE,NA,NA,NA,52,23.6,514,668,NA,"2'11""",0.9,35,509,693
341,"Corphish",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,25.4,11.5,341,841,NA,"2'00""",0.6,24,319,883
342,"Crawdaunt",NA,"Water","Dark",3,FALSE,FALSE,FALSE,NA,NA,NA,72.3,32.8,618,564,NA,"3'07""",1.1,43,630,572
343,"Baltoy",NA,"Ground","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,47.4,21.5,493,689,NA,"1'08""",0.5,20,236,966
344,"Claydol",NA,"Ground","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,238.1,108,977,205,NA,"4'11""",1.5,59,841,361
345,"Lileep",NA,"Rock","Grass",3,FALSE,FALSE,FALSE,NA,NA,NA,52.5,23.8,515,667,NA,"3'03""",1,39,566,636
346,"Cradily",NA,"Rock","Grass",3,FALSE,FALSE,FALSE,NA,NA,NA,133.2,60.4,824,358,NA,"4'11""",1.5,59,842,360
347,"Anorith",NA,"Rock","Bug",3,FALSE,FALSE,FALSE,NA,NA,NA,27.6,12.5,360,822,NA,"2'04""",0.7,28,403,799
348,"Armaldo",NA,"Rock","Bug",3,FALSE,FALSE,FALSE,NA,NA,NA,150.4,68.2,858,324,NA,"4'11""",1.5,59,843,359
349,"Feebas",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,16.3,7.4,243,939,NA,"2'00""",0.6,24,320,882
350,"Milotic",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,357.1,162,1048,134,NA,"20'04""",6.2,244,1181,21
351,"Castform",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,1.8,0.8,35,1147,NA,"1'00""",0.3,12,58,1144
351,"Castform",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,"Sunny Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,59,1143
351,"Castform",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,"Rainy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,60,1142
351,"Castform",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,"Snowy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,61,1141
351,"Castform",NA,"Fire",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,1.8,0.8,35,1147,NA,"1'00""",0.3,12,58,1144
351,"Castform",NA,"Fire",NA,3,FALSE,FALSE,FALSE,NA,NA,"Sunny Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,59,1143
351,"Castform",NA,"Fire",NA,3,FALSE,FALSE,FALSE,NA,NA,"Rainy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,60,1142
351,"Castform",NA,"Fire",NA,3,FALSE,FALSE,FALSE,NA,NA,"Snowy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,61,1141
351,"Castform",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,1.8,0.8,35,1147,NA,"1'00""",0.3,12,58,1144
351,"Castform",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,"Sunny Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,59,1143
351,"Castform",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,"Rainy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,60,1142
351,"Castform",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,"Snowy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,61,1141
351,"Castform",NA,"Ice",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,1.8,0.8,35,1147,NA,"1'00""",0.3,12,58,1144
351,"Castform",NA,"Ice",NA,3,FALSE,FALSE,FALSE,NA,NA,"Sunny Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,59,1143
351,"Castform",NA,"Ice",NA,3,FALSE,FALSE,FALSE,NA,NA,"Rainy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,60,1142
351,"Castform",NA,"Ice",NA,3,FALSE,FALSE,FALSE,NA,NA,"Snowy Form",1.8,0.8,35,1147,NA,"1'00""",0.3,12,61,1141
352,"Kecleon",NA,"Normal",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,48.5,22,497,685,NA,"3'03""",1,39,567,635
353,"Shuppet",NA,"Ghost",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,5.1,2.3,95,1087,NA,"2'00""",0.6,24,321,881
354,"Banette",NA,"Ghost",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,27.6,12.5,361,821,NA,"3'07""",1.1,43,631,571
354,"Banette",NA,"Ghost",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,28.7,13,369,813,"Mega","3'11""",1.2,47,680,522
355,"Duskull",NA,"Ghost",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,398,784,NA,"2'07""",0.8,31,463,739
356,"Dusclops",NA,"Ghost",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,67.5,30.6,594,588,NA,"5'03""",1.6,63,895,307
357,"Tropius",NA,"Grass","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,220.5,100,957,225,NA,"6'07""",2,79,1041,161
358,"Chimecho",NA,"Psychic",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,2.2,1,42,1140,NA,"2'00""",0.6,24,322,880
359,"Absol",NA,"Dark",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,103.6,47,738,444,NA,"3'11""",1.2,47,681,521
359,"Absol",NA,"Dark",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,108,49,749,433,"Mega","3'11""",1.2,47,682,520
360,"Wynaut",NA,"Psychic",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,30.9,14,381,801,NA,"2'00""",0.6,24,323,879
361,"Snorunt",NA,"Ice",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,37,16.8,426,756,NA,"2'04""",0.7,28,404,798
362,"Glalie",NA,"Ice",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,565.5,256.5,1103,79,NA,"4'11""",1.5,59,844,358
362,"Glalie",NA,"Ice",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,772.1,350.2,1137,45,"Mega","6'11""",2.1,83,1063,139
363,"Spheal",NA,"Ice","Water",3,FALSE,FALSE,FALSE,NA,NA,NA,87.1,39.5,678,504,NA,"2'07""",0.8,31,464,738
364,"Sealeo",NA,"Ice","Water",3,FALSE,FALSE,FALSE,NA,NA,NA,193.1,87.6,923,259,NA,"3'07""",1.1,43,632,570
365,"Walrein",NA,"Ice","Water",3,FALSE,FALSE,FALSE,NA,NA,NA,332,150.6,1037,145,NA,"4'07""",1.4,55,795,407
366,"Clamperl",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,115.7,52.5,771,411,NA,"1'04""",0.4,16,156,1046
367,"Huntail",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,59.5,27,546,636,NA,"5'07""",1.7,67,944,258
368,"Gorebyss",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,49.8,22.6,504,678,NA,"5'11""",1.8,71,976,226
369,"Relicanth",NA,"Water","Rock",3,FALSE,FALSE,FALSE,NA,NA,NA,51.6,23.4,510,672,NA,"3'03""",1,39,568,634
370,"Luvdisc",NA,"Water",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,19.2,8.7,282,900,NA,"2'00""",0.6,24,324,878
371,"Bagon",NA,"Dragon",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,92.8,42.1,712,470,NA,"2'00""",0.6,24,325,877
372,"Shelgon",NA,"Dragon",NA,3,FALSE,FALSE,FALSE,NA,NA,NA,243.6,110.5,987,195,NA,"3'07""",1.1,43,633,569
373,"Salamence",NA,"Dragon","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,226.2,102.6,967,215,NA,"4'11""",1.5,59,845,357
373,"Salamence",NA,"Dragon","Flying",3,FALSE,FALSE,FALSE,NA,NA,NA,248.2,112.6,989,193,"Mega","5'11""",1.8,71,977,225
374,"Beldum",NA,"Steel","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,209.9,95.2,947,235,NA,"2'00""",0.6,24,326,876
375,"Metang",NA,"Steel","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,446.4,202.5,1070,112,NA,"3'11""",1.2,47,683,519
376,"Metagross",NA,"Steel","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,1212.5,550,1157,25,NA,"5'03""",1.6,63,896,306
376,"Metagross",NA,"Steel","Psychic",3,FALSE,FALSE,FALSE,NA,NA,NA,2078.7,942.9,1176,6,"Mega","8'02""",2.5,98,1107,95
377,"Regirock",NA,"Rock",NA,3,TRUE,FALSE,FALSE,"Legendary giants","quintets",NA,507.1,230,1091,91,NA,"5'07""",1.7,67,945,257
378,"Regice",NA,"Ice",NA,3,TRUE,FALSE,FALSE,"Legendary giants","quintets",NA,385.8,175,1052,130,NA,"5'11""",1.8,71,978,224
379,"Registeel",NA,"Steel",NA,3,TRUE,FALSE,FALSE,"Legendary giants","quintets",NA,451.9,205,1072,110,NA,"6'03""",1.9,75,1011,191
380,"Latias",NA,"Dragon","Psychic",3,TRUE,FALSE,FALSE,"Eon duo","duos",NA,88.2,40,686,496,NA,"4'07""",1.4,55,796,406
380,"Latias",NA,"Dragon","Psychic",3,TRUE,FALSE,FALSE,"Eon duo","duos",NA,114.6,52,767,415,"Mega","5'11""",1.8,71,979,223
381,"Latios",NA,"Dragon","Psychic",3,TRUE,FALSE,FALSE,"Eon duo","duos",NA,132.3,60,818,364,NA,"6'07""",2,79,1042,160
381,"Latios",NA,"Dragon","Psychic",3,TRUE,FALSE,FALSE,"Eon duo","duos",NA,154.3,70,861,321,"Mega","7'07""",2.3,91,1090,112
382,"Kyogre",NA,"Water",NA,3,TRUE,FALSE,FALSE,"Super-ancient Pokémon","trios",NA,776,352,1138,44,NA,"14'09""",4.5,177,1168,34
382,"Kyogre",NA,"Water",NA,3,TRUE,FALSE,FALSE,"Super-ancient Pokémon","trios",NA,948,430,1149,33,"Primal","32'02""",9.8,386,1194,8
383,"Groudon",NA,"Ground",NA,3,TRUE,FALSE,FALSE,"Super-ancient Pokémon","trios",NA,2094.4,950,1177,5,NA,"11'06""",3.5,138,1151,51
383,"Groudon",NA,"Ground",NA,3,TRUE,FALSE,FALSE,"Super-ancient Pokémon","trios",NA,2204,999.7,1179,3,"Primal","16'05""",5,197,1173,29
384,"Rayquaza",NA,"Dragon","Flying",3,TRUE,FALSE,FALSE,"Super-ancient Pokémon","trios",NA,455.3,206.5,1073,109,NA,"23'00""",7,276,1187,15
384,"Rayquaza",NA,"Dragon","Flying",3,TRUE,FALSE,FALSE,"Super-ancient Pokémon","trios",NA,864.2,392,1143,39,"Mega","35'05""",10.8,425,1196,6
385,"Jirachi",NA,"Steel","Psychic",3,FALSE,TRUE,FALSE,NA,NA,NA,2.4,1.1,51,1131,NA,"1'00""",0.3,12,62,1140
386,"Deoxys",NA,"Psychic",NA,3,FALSE,TRUE,FALSE,NA,NA,"Normal Forme",134,60.8,828,354,NA,"5'07""",1.7,67,946,256
386,"Deoxys",NA,"Psychic",NA,3,FALSE,TRUE,FALSE,NA,NA,"Attack Forme",134,60.8,829,353,NA,"5'07""",1.7,67,947,255
386,"Deoxys",NA,"Psychic",NA,3,FALSE,TRUE,FALSE,NA,NA,"Defense Forme",134,60.8,830,352,NA,"5'07""",1.7,67,948,254
386,"Deoxys",NA,"Psychic",NA,3,FALSE,TRUE,FALSE,NA,NA,"Speed Forme",134,60.8,831,351,NA,"5'07""",1.7,67,949,253
387,"Turtwig",NA,"Grass",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,22.5,10.2,313,869,NA,"1'04""",0.4,16,157,1045
388,"Grotle",NA,"Grass",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,213.8,97,951,231,NA,"3'07""",1.1,43,634,568
389,"Torterra",NA,"Grass","Ground",4,FALSE,FALSE,FALSE,NA,NA,NA,683.4,310,1119,63,NA,"7'03""",2.2,87,1078,124
390,"Chimchar",NA,"Fire",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,13.7,6.2,213,969,NA,"1'08""",0.5,20,237,965
391,"Monferno",NA,"Fire","Fighting",4,FALSE,FALSE,FALSE,NA,NA,NA,48.5,22,498,684,NA,"2'11""",0.9,35,510,692
392,"Infernape",NA,"Fire","Fighting",4,FALSE,FALSE,FALSE,NA,NA,NA,121.3,55,785,397,NA,"3'11""",1.2,47,684,518
393,"Piplup",NA,"Water",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,11.5,5.2,184,998,NA,"1'04""",0.4,16,158,1044
394,"Prinplup",NA,"Water",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,50.7,23,506,676,NA,"2'07""",0.8,31,465,737
395,"Empoleon",NA,"Water","Steel",4,FALSE,FALSE,FALSE,NA,NA,NA,186.3,84.5,914,268,NA,"5'07""",1.7,67,950,252
396,"Starly",NA,"Normal","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,4.4,2,82,1100,NA,"1'00""",0.3,12,63,1139
397,"Staravia",NA,"Normal","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,34.2,15.5,409,773,NA,"2'00""",0.6,24,327,875
398,"Staraptor",NA,"Normal","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,54.9,24.9,525,657,NA,"3'11""",1.2,47,685,517
399,"Bidoof",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,44.1,20,469,713,NA,"1'08""",0.5,20,238,964
400,"Bibarel",NA,"Normal","Water",4,FALSE,FALSE,FALSE,NA,NA,NA,69.4,31.5,602,580,NA,"3'03""",1,39,569,633
401,"Kricketot",NA,"Bug",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,4.9,2.2,90,1092,NA,"1'00""",0.3,12,64,1138
402,"Kricketune",NA,"Bug",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,56.2,25.5,536,646,NA,"3'03""",1,39,570,632
403,"Shinx",NA,"Electric",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,20.9,9.5,300,882,NA,"1'08""",0.5,20,239,963
404,"Luxio",NA,"Electric",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,67.2,30.5,591,591,NA,"2'11""",0.9,35,511,691
405,"Luxray",NA,"Electric",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,92.6,42,710,472,NA,"4'07""",1.4,55,797,405
406,"Budew",NA,"Grass","Poison",4,FALSE,FALSE,FALSE,NA,NA,NA,2.6,1.2,55,1127,NA,"0'08""",0.2,8,13,1189
407,"Roserade",NA,"Grass","Poison",4,FALSE,FALSE,FALSE,NA,NA,NA,32,14.5,387,795,NA,"2'11""",0.9,35,512,690
408,"Cranidos",NA,"Rock",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,69.4,31.5,603,579,NA,"2'11""",0.9,35,513,689
409,"Rampardos",NA,"Rock",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,226,102.5,966,216,NA,"5'03""",1.6,63,897,305
410,"Shieldon",NA,"Rock","Steel",4,FALSE,FALSE,FALSE,NA,NA,NA,125.7,57,798,384,NA,"1'08""",0.5,20,240,962
411,"Bastiodon",NA,"Rock","Steel",4,FALSE,FALSE,FALSE,NA,NA,NA,329.6,149.5,1032,150,NA,"4'03""",1.3,51,747,455
412,"Burmy",NA,"Bug",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,7.5,3.4,123,1059,NA,"0'08""",0.2,8,14,1188
413,"Wormadam",NA,"Bug","Grass",4,FALSE,FALSE,FALSE,NA,NA,"Plant Cloak",14.3,6.5,221,961,NA,"1'08""",0.5,20,241,961
413,"Wormadam",NA,"Bug","Grass",4,FALSE,FALSE,FALSE,NA,NA,"Sandy Cloak",14.3,6.5,222,960,NA,"1'08""",0.5,20,242,960
413,"Wormadam",NA,"Bug","Grass",4,FALSE,FALSE,FALSE,NA,NA,"Trash Cloak",14.3,6.5,223,959,NA,"1'08""",0.5,20,243,959
413,"Wormadam",NA,"Bug","Ground",4,FALSE,FALSE,FALSE,NA,NA,"Plant Cloak",14.3,6.5,221,961,NA,"1'08""",0.5,20,241,961
413,"Wormadam",NA,"Bug","Ground",4,FALSE,FALSE,FALSE,NA,NA,"Sandy Cloak",14.3,6.5,222,960,NA,"1'08""",0.5,20,242,960
413,"Wormadam",NA,"Bug","Ground",4,FALSE,FALSE,FALSE,NA,NA,"Trash Cloak",14.3,6.5,223,959,NA,"1'08""",0.5,20,243,959
413,"Wormadam",NA,"Bug","Steel",4,FALSE,FALSE,FALSE,NA,NA,"Plant Cloak",14.3,6.5,221,961,NA,"1'08""",0.5,20,241,961
413,"Wormadam",NA,"Bug","Steel",4,FALSE,FALSE,FALSE,NA,NA,"Sandy Cloak",14.3,6.5,222,960,NA,"1'08""",0.5,20,242,960
413,"Wormadam",NA,"Bug","Steel",4,FALSE,FALSE,FALSE,NA,NA,"Trash Cloak",14.3,6.5,223,959,NA,"1'08""",0.5,20,243,959
414,"Mothim",NA,"Bug","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,51.4,23.3,508,674,NA,"2'11""",0.9,35,514,688
415,"Combee",NA,"Bug","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,12.1,5.5,192,990,NA,"1'00""",0.3,12,65,1137
416,"Vespiquen",NA,"Bug","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,84.9,38.5,668,514,NA,"3'11""",1.2,47,686,516
417,"Pachirisu",NA,"Electric",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,8.6,3.9,142,1040,NA,"1'04""",0.4,16,159,1043
418,"Buizel",NA,"Water",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,65,29.5,575,607,NA,"2'04""",0.7,28,405,797
419,"Floatzel",NA,"Water",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,73.9,33.5,631,551,NA,"3'07""",1.1,43,635,567
420,"Cherubi",NA,"Grass",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,7.3,3.3,121,1061,NA,"1'04""",0.4,16,160,1042
421,"Cherrim",NA,"Grass",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,20.5,9.3,295,887,NA,"1'08""",0.5,20,244,958
422,"Shellos",NA,"Water",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,13.9,6.3,214,968,NA,"1'00""",0.3,12,66,1136
423,"Gastrodon",NA,"Water","Ground",4,FALSE,FALSE,FALSE,NA,NA,NA,65.9,29.9,578,604,NA,"2'11""",0.9,35,515,687
424,"Ambipom",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,44.8,20.3,475,707,NA,"3'11""",1.2,47,687,515
425,"Drifloon",NA,"Ghost","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,2.6,1.2,56,1126,NA,"1'04""",0.4,16,161,1041
426,"Drifblim",NA,"Ghost","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,33.1,15,399,783,NA,"3'11""",1.2,47,688,514
427,"Buneary",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,12.1,5.5,193,989,NA,"1'04""",0.4,16,162,1040
428,"Lopunny",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,62.4,28.3,562,620,"Mega","4'03""",1.3,51,748,454
428,"Lopunny",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,73.4,33.3,627,555,NA,"3'11""",1.2,47,689,513
429,"Mismagius",NA,"Ghost",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,9.7,4.4,162,1020,NA,"2'11""",0.9,35,516,686
430,"Honchkrow",NA,"Dark","Flying",4,FALSE,FALSE,FALSE,NA,NA,NA,60.2,27.3,550,632,NA,"2'11""",0.9,35,517,685
431,"Glameow",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,8.6,3.9,143,1039,NA,"1'08""",0.5,20,245,957
432,"Purugly",NA,"Normal",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,96.6,43.8,719,463,NA,"3'03""",1,39,571,631
433,"Chingling",NA,"Psychic",NA,4,FALSE,FALSE,FALSE,NA,NA,NA,1.3,0.6,28,1154,NA,"0'08""",0.2,8,15,1187
