"ndex","name","form","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","Japanese_Kana","Japanese_Hepburn","Japanese_Trademarked","German","French","Spanish","Italian","Korean_Hangul","Korean_Revised","Korean_McCune-Reischauer","Korean_Official","Chinese_Traditional","Chinese_Simplified","Chinese_Pinyin","Chinese_Yale","Chinese_Former_names","Brazilian_Portuguese","Turkish","Russian_Cyrillic","Russian_Romanization","Thai","Thai_RTGS","Hindi_Devanagari","Hindi_Transliteration","Hindi_Romanization"
563,"Cofagrigus",NA,NA,"Ghost",NA,5,FALSE,FALSE,FALSE,NA,NA,"デスカーン","Desukān","Desukarn","Echnatoll","Tutankafer",NA,NA,"데스니칸","Deseunikan","Tesŭnik'an","Desunikan","死神棺","迭失棺","SǐshénguānDiéshīguān","Séisàhngūn","死神棺 Sǐshénguān (CN)[2]",NA,NA,"Кофагригус","Kofagrigus","เดธคาน","Detkhan","डैमौफ़न","Ḍaimaufan","Demaufan"
564,"Tirtouga",NA,NA,"Water","Rock",5,FALSE,FALSE,FALSE,NA,NA,"プロトーガ","Purotōga","Protoga","Galapaflos","Carapagos",NA,NA,"프로토가","Peurotoga","P'ŭrot'oga","Protoga","原蓋海龜","原盖海龟","Yuángàihǎiguī","Yùhngoihóigwāi","-",NA,NA,"Тиртуга","Tirtuga","โปรโตกา","Protoka","प्रोटोकूर्म","Proṭokūrm","Protokurm"
565,"Carracosta",NA,NA,"Water","Rock",5,FALSE,FALSE,FALSE,NA,NA,"アバゴーラ","Abagōra","Abagoura","Karippas","Mégapagos",NA,NA,"늑골라","Neukgolla","Nŭkkolla","Neukgolra","肋骨海龜","肋骨海龟","Lèigǔhǎiguī","Lahkgwāthóigwāi","-",NA,NA,"Карракоста","Karrakosta","อบาโกรา","Abakora","रिबोटोशेल","Riboṭośel","Ribotoshell"
566,"Archen",NA,NA,"Rock","Flying",5,FALSE,FALSE,FALSE,NA,NA,"アーケン","Āken","Archen","Flapteryx","Arkéapti",NA,NA,"아켄","Aken","Ak'en","Aken","始祖小鳥","始祖小鸟","Shǐzǔxiǎoniǎo","Chíjóusíuníuh","-",NA,NA,"Аркен","Arken","อาเคน","Akhen","आर्किया","Ārkiyā","Archiya"
567,"Archeops",NA,NA,"Rock","Flying",5,FALSE,FALSE,FALSE,NA,NA,"アーケオス","Ākeosu","Archeos","Aeropteryx","Aéroptéryx",NA,NA,"아케오스","Akeoseu","Ak'eosŭ","Akeos","始祖大鳥","始祖大鸟","Shǐzǔdàniǎo","Chíjóudaaihníuh","-",NA,NA,"Аркеопс","Arkeops","อาเคโอส","Akheot","आर्कियरी","Ārkiyrī","Archiyaree"
568,"Trubbish",NA,NA,"Poison",NA,5,FALSE,FALSE,FALSE,NA,NA,"ヤブクロン","Yabukuron","Yabukuron","Unratütox","Miamiasme",NA,NA,"깨봉이","Kkaebongi","Kkaebongi","Kkaebongi","破破袋","破破袋","Pòpòdài","Popodoih","-",NA,NA,"Траббиш","Trabbish","ยาบุคุรอน","Yabukhuron","कचरैग","Kacraig","Kachrag"
569,"Garbodor",NA,NA,"Poison",NA,5,FALSE,FALSE,FALSE,NA,NA,"ダストダス","Dasutodasu","Dustdas","Deponitox","Miasmax",NA,NA,"더스트나","Deoseuteuna","Tŏsŭtŭna","Dustna","灰塵山","灰尘山","Huīchénshān","Fūichàhnsāan","-",NA,NA,"Гарбодор","Garbodor","ดัสต์ดาส","Datdat","कूड़ाबूड़ा","Kūṛābūṛā","Koodabooda"
570,"Zorua",NA,"Hisuian Form","Normal","Ghost",5,FALSE,FALSE,FALSE,NA,NA,"ゾロア","Zoroa","Zorua","Zorua","Zorua",NA,NA,"조로아","Joroa","Choroa","Zorua","索羅亞","索罗亚","SuǒluóyǎSuǒluóyà","Soklòh'a","-",NA,NA,"Зоруа","Zorua","โซรัว","Sorua","ज़ोरुआ","Zoruā","Zorua"
570,"Zorua",NA,NA,"Dark",NA,5,FALSE,FALSE,FALSE,NA,NA,"ゾロア","Zoroa","Zorua","Zorua","Zorua",NA,NA,"조로아","Joroa","Choroa","Zorua","索羅亞","索罗亚","SuǒluóyǎSuǒluóyà","Soklòh'a","-",NA,NA,"Зоруа","Zorua","โซรัว","Sorua","ज़ोरुआ","Zoruā","Zorua"
571,"Zoroark",NA,"Hisuian Form","Normal","Ghost",5,FALSE,FALSE,FALSE,NA,NA,"ゾロアーク","Zoroāku","Zoroark","Zoroark","Zoroark",NA,NA,"조로아크","Joroakeu","Choroak'ŭ","Zoroark","索羅亞克","索罗亚克","SuǒluóyǎkèSuǒluóyàkè","Soklòh'ahāk","-",NA,NA,"Зороарк","Zoroark","โซโรอาร์ค","Soroak","ज़ोरोआर्क","Zoroārk","Zoroark"
571,"Zoroark",NA,NA,"Dark",NA,5,FALSE,FALSE,FALSE,NA,NA,"ゾロアーク","Zoroāku","Zoroark","Zoroark","Zoroark",NA,NA,"조로아크","Joroakeu","Choroak'ŭ","Zoroark","索羅亞克","索罗亚克","SuǒluóyǎkèSuǒluóyàkè","Soklòh'ahāk","-",NA,NA,"Зороарк","Zoroark","โซโรอาร์ค","Soroak","ज़ोरोआर्क","Zoroārk","Zoroark"
572,"Minccino",NA,NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,"チラーミィ","Chirāmī","Chillarmy","Picochilla","Chinchidou",NA,NA,"치라미","Chirami","Ch'irami","Chillarmy","泡沫栗鼠","泡沫栗鼠","Pàomòlìshǔ","Póuhmutleuhtsyú","-",NA,NA,"Минччино","Minchchino","จิลามี","Chilami","मिंचीनो","Miñcīno","Minccino"
573,"Cinccino",NA,NA,"Normal",NA,5,FALSE,FALSE,FALSE,NA,NA,"チラチーノ","Chirachīno","Chillaccino","Chillabell","Pashmilla",NA,NA,"치라치노","Chirachino","Ch'irach'ino","Chillaccino","奇諾栗鼠","奇诺栗鼠","Qínuòlìshǔ","Kèinohkleuhtsyú","-",NA,NA,"Чинччино","Chinchchino","จิลาจีโน","Chilachino","चिंचीनो","Ciñcīno","Cinccino"
574,"Gothita",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"ゴチム","Gochimu","Gothimu","Mollimorba","Scrutella",NA,NA,"고디탱","Goditaeng","Kodit'aeng","Goditeng","哥德寶寶","哥德宝宝","Gēdébǎobao","Gōdākbóubóu","-",NA,NA,"Гофита","Gofita","โกธิมู","Kothimu","गोलगॉथ","Golgŏth","Golgoth"
575,"Gothorita",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"ゴチミル","Gochimiru","Gothimiru","Hypnomorba","Mesmérella",NA,NA,"고디보미","Godibomi","Kodibomi","Godibomi","哥德小童","哥德小童","Gēdéxiǎotóng","Gōdāksíutùhng","-",NA,NA,"Гофорита","Goforita","โกธิมิรุ","Kothimiru","गॉथनिहार","Gŏthnihār","Gothnihaar"
576,"Gothitelle",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"ゴチルゼル","Gochiruzeru","Gothiruselle","Morbitesse","Sidérella",NA,NA,"고디모아젤","Godimoajel","Kodimoajel","Godimoiselle","哥德小姐","哥德小姐","Gēdéxiǎojiě","Gōdāksíujé","-",NA,NA,"Гофителль","Gofitell'","โกธิรูเซล","Kothirusel","गॉथीमिसी","Gŏthīmisī","Gothimissy"
577,"Solosis",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"ユニラン","Yuniran","Uniran","Monozyto","Nucléos",NA,NA,"유니란","Yuniran","Yuniran","Uniran","單卵細胞球","单卵细胞球","Dānluǎnxìbāoqiú","Dāanléuhnsaibāaukàuh","-",NA,NA,"Солосис","Solosis","ยูนิรัน","Yuniran","एकोवू","Ekovū","Ekovoo"
578,"Duosion",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"ダブラン","Daburan","Doublan","Mitodos","Méios",NA,NA,"듀란","Dyuran","Tyuran","Dyuran","雙卵細胞球","双卵细胞球","Shuāngluǎnxìbāoqiú","Sēungléuhnsaibāaukàuh","-",NA,NA,"Дуожн","Duozhn","ดาบูลัน","Dabulan","डूओवा","Ḍūovā","Duova"
579,"Reuniclus",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"ランクルス","Rankurusu","Lanculus","Zytomega","Symbios",NA,NA,"란쿨루스","Rankulluseu","Rank'ŭllusŭ","Lanculus","人造細胞卵","人造细胞卵","Rénzàoxìbāoluǎn","Yàhnjouhsaibāauléuhn","-",NA,NA,"Реюниклюс","Reyuniklyus","แลนคูลัส","Laenkhulat","ओवाकनेक","Ovāknek","Ovaknek"
580,"Ducklett",NA,NA,"Water","Flying",5,FALSE,FALSE,FALSE,NA,NA,"コアルヒー","Koaruhī","Koaruhie","Piccolente","Couaneton",NA,NA,"꼬지보리","Kkojibori","Kkojibori","Kkojibori","鴨寶寶","鸭宝宝","Yābǎobao","Aapbóubóu","-",NA,NA,"Даклетт","Daklett","โคอารูฮี","Khoaruhi","डकचा","Ḍakcā","Duckcha"
581,"Swanna",NA,NA,"Water","Flying",5,FALSE,FALSE,FALSE,NA,NA,"スワンナ","Suwanna","Swanna","Swaroness","Lakmécygne",NA,NA,"스완나","Seuwanna","Sŭwanna","Swanna","舞天鵝","舞天鹅","Wǔtiān'é","Móuhtīnngòh","首席天鵝 / 首席天鹅 Shǒuxítiān'é (TW/CN)首席天鵝 Sáujihktīnngòh (HK)",NA,NA,"Суанна","Suanna","สวอนนา","Sawonna","हंसोना","Hansonā","Hansona"
582,"Vanillite",NA,NA,"Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,"バニプッチ","Baniputchi","Vanipeti","Gelatini","Sorbébé",NA,NA,"바닐프티","Banilpeuti","Panilp'ŭt'i","Vanipeti","迷你冰","迷你冰","Mínǐbīng","Màihnéihbīng","-",NA,NA,"Ваниллайт","Vanillayt","วานิเพ็ตติ","Waniphetti","वनीलर्फ़","Vanīlarf","Vanilurf"
583,"Vanillish",NA,NA,"Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,"バニリッチ","Baniritchi","Vanirich","Gelatroppo","Sorboul",NA,NA,"바닐리치","Banillichi","Panillich'i","Vanirich","多多冰","多多冰","Duōduōbīng","Dōdōbīng","-",NA,NA,"Ваниллиш","Vanillish","วานิริช","Waniritcha","वनीरिच","Vanīric","Vanirich"
584,"Vanilluxe",NA,NA,"Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,"バイバニラ","Baibanira","Baivanilla","Gelatwino","Sorbouboul",NA,NA,"배바닐라","Baebanilla","Paebanilla","Baevanilla","雙倍多多冰","双倍多多冰","Shuāngbèiduōduōbīng","Sēungpúihdōdōbīng","-",NA,NA,"Ваниллюкс","Vanillyuks","ไบวานิลลา","Baiwaninla","ट्विनिला","Ṭvinilā","Twinilla"
585,"Deerling","Autumn Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"シキジカ","Shikijika","Shikijika","Sesokitz","Vivaldaim",NA,NA,"사철록","Sacheollok","Sach'ŏllok","Sacheolrok","四季鹿","四季鹿","Sìjìlù","Seigwailúk","-",NA,NA,"Дирлинг","Dirling","ชิคิจิกะ","Chikhichika","हिरितु","Hiritu","Hiritu"
585,"Deerling","Spring Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"シキジカ","Shikijika","Shikijika","Sesokitz","Vivaldaim",NA,NA,"사철록","Sacheollok","Sach'ŏllok","Sacheolrok","四季鹿","四季鹿","Sìjìlù","Seigwailúk","-",NA,NA,"Дирлинг","Dirling","ชิคิจิกะ","Chikhichika","हिरितु","Hiritu","Hiritu"
585,"Deerling","Summer Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"シキジカ","Shikijika","Shikijika","Sesokitz","Vivaldaim",NA,NA,"사철록","Sacheollok","Sach'ŏllok","Sacheolrok","四季鹿","四季鹿","Sìjìlù","Seigwailúk","-",NA,NA,"Дирлинг","Dirling","ชิคิจิกะ","Chikhichika","हिरितु","Hiritu","Hiritu"
585,"Deerling","Winter Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"シキジカ","Shikijika","Shikijika","Sesokitz","Vivaldaim",NA,NA,"사철록","Sacheollok","Sach'ŏllok","Sacheolrok","四季鹿","四季鹿","Sìjìlù","Seigwailúk","-",NA,NA,"Дирлинг","Dirling","ชิคิจิกะ","Chikhichika","हिरितु","Hiritu","Hiritu"
586,"Sawsbuck","Autumn Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"メブキジカ","Mebukijika","Mebukijika","Kronjuwild","Haydaim",NA,NA,"바라철록","Baracheollok","Parach'ŏllok","Baracheolrok","萌芽鹿","萌芽鹿","Méngyálù","Màhngngàhlúk","芽吹鹿 Yáchuīlù (TW/CN)芽吹鹿 Ngàhchēuilúk (HK)",NA,NA,"Сосбак","Sosbak","เมบูคิจิกะ","Mebukhichika","मौसबडीयर","Mausabḍīyar","Mausabdeer"
586,"Sawsbuck","Spring Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"メブキジカ","Mebukijika","Mebukijika","Kronjuwild","Haydaim",NA,NA,"바라철록","Baracheollok","Parach'ŏllok","Baracheolrok","萌芽鹿","萌芽鹿","Méngyálù","Màhngngàhlúk","芽吹鹿 Yáchuīlù (TW/CN)芽吹鹿 Ngàhchēuilúk (HK)",NA,NA,"Сосбак","Sosbak","เมบูคิจิกะ","Mebukhichika","मौसबडीयर","Mausabḍīyar","Mausabdeer"
586,"Sawsbuck","Summer Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"メブキジカ","Mebukijika","Mebukijika","Kronjuwild","Haydaim",NA,NA,"바라철록","Baracheollok","Parach'ŏllok","Baracheolrok","萌芽鹿","萌芽鹿","Méngyálù","Màhngngàhlúk","芽吹鹿 Yáchuīlù (TW/CN)芽吹鹿 Ngàhchēuilúk (HK)",NA,NA,"Сосбак","Sosbak","เมบูคิจิกะ","Mebukhichika","मौसबडीयर","Mausabḍīyar","Mausabdeer"
586,"Sawsbuck","Winter Form",NA,"Normal","Grass",5,FALSE,FALSE,FALSE,NA,NA,"メブキジカ","Mebukijika","Mebukijika","Kronjuwild","Haydaim",NA,NA,"바라철록","Baracheollok","Parach'ŏllok","Baracheolrok","萌芽鹿","萌芽鹿","Méngyálù","Màhngngàhlúk","芽吹鹿 Yáchuīlù (TW/CN)芽吹鹿 Ngàhchēuilúk (HK)",NA,NA,"Сосбак","Sosbak","เมบูคิจิกะ","Mebukhichika","मौसबडीयर","Mausabḍīyar","Mausabdeer"
587,"Emolga",NA,NA,"Electric","Flying",5,FALSE,FALSE,FALSE,NA,NA,"エモンガ","Emonga","Emolga[ag]","Emolga","Emolga",NA,NA,"에몽가","Emongga","Emongga","Emonga","電飛鼠","电飞鼠","Diànfēishǔ","Dihnfēisyú","導電飛鼠 / 导电飞鼠 Dǎodiànfēishǔ (TW/CN)導電飛鼠 Douhdihnfēisyú (HK)",NA,NA,"Эмолга","Emolga","เอมอนกา","Emonka","इमोल्गा","Imolgā","Emolga"
588,"Karrablast",NA,NA,"Bug",NA,5,FALSE,FALSE,FALSE,NA,NA,"カブルモ","Kaburumo","Kaburumo","Laukaps","Carabing",NA,NA,"딱정곤","Ttakjeonggon","Ttakchŏnggon","Ttakjeonggon","蓋蓋蟲","盖盖虫","Gàigàichóng","Goigoichùhng","-",NA,NA,"Каррабласт","Karrablast","คาบูรูโมะ","Khaburumo","कवरीटल","Kavrīṭal","Covereetle"
589,"Escavalier",NA,NA,"Bug","Steel",5,FALSE,FALSE,FALSE,NA,NA,"シュバルゴ","Shubarugo","Chevargo","Cavalanzas","Lançargot",NA,NA,"슈바르고","Syubareugo","Syubarŭgo","Chevargo","騎士蝸牛","骑士蜗牛","QíshìguāniúQíshìwōniú","Kèihsihwō'ngàuh","-",NA,NA,"Эскавальер","Eskaval'er","ชูวัลโก","Chuwanko","नाइटसीप","Nāiṭsīp","Nightsip"
590,"Foongus",NA,NA,"Grass","Poison",5,FALSE,FALSE,FALSE,NA,NA,"タマゲタケ","Tamagetake","Tamagetake","Tarnpignon","Trompignon",NA,NA,"깜놀버슬","Kkamnolbeoseul","Kkamnolbŏsŭl","Kamnolberseul","哎呀球菇","哎呀球菇","Āiyāqiúgū","Āaiyākàuhgū","寶貝球菇 Bǎobèiqiúgū (TW)精靈球菇 Jīnglìhngkàuhgū (HK)",NA,NA,"Фунгус","Fungus","ทามาเกะทาเคะ","Thamakethakhe","मशहैरान","Maśhairān","Mushhairan"
591,"Amoonguss",NA,NA,"Grass","Poison",5,FALSE,FALSE,FALSE,NA,NA,"モロバレル","Morobareru","Morobareru","Hutsassa","Gaulet",NA,NA,"뽀록나","Pporongna","Pporongna","Pporokna","敗露球菇","败露球菇","Bàilùqiúgū","Baaihlouhkàuhgū","暴露菇 Bàolùgū (TW)暴露菇 Bouhlouhgū (HK)",NA,NA,"Амунгус","Amungus","โมโรบาเรรุ","Morobareru","पूराफ़ाश","Pūrāfāś","Poorafaash"
592,"Frillish",NA,NA,"Water","Ghost",5,FALSE,FALSE,FALSE,NA,NA,"プルリル","Pururiru","Pururill","Quabbel","Viskuse",NA,NA,"탱그릴","Taenggeuril","T'aenggŭril","Tengguril","輕飄飄","轻飘飘","Qīngpiāopiāo","Hīngpīupīu","-",NA,NA,"Фриллиш","Frillish","พูรูริล","Phururin","फ़्रिलिश","Friliś","Frillish"
593,"Jellicent",NA,NA,"Water","Ghost",5,FALSE,FALSE,FALSE,NA,NA,"ブルンゲル","Burungeru","Burungel","Apoquallyp","Moyade",NA,NA,"탱탱겔","Taengtaenggel","T'aengt'aenggel","Taengtaenggel","胖嘟嘟","胖嘟嘟","Pàngdūdū","Buhndyūtdyūt","-",NA,NA,"Джеллисент","Dzhellisent","บูรุนเจล","Burunchen","जेलीहिल","Jelīhil","Jellyhill"
594,"Alomomola",NA,NA,"Water",NA,5,FALSE,FALSE,FALSE,NA,NA,"ママンボウ","Mamanbō","Mamanbou","Mamolida","Mamanbo",NA,NA,"맘복치","Mambokchi","Mambokch'i","Mambokchi","保母曼波","保姆曼波","Bǎomǔmànbō","Bóumóuhmaahnbō","-",NA,NA,"Аломомола","Alomomola","มามันโบ","Mamanbo","अम्मोला","Ammolā","Ammola"
595,"Joltik",NA,NA,"Bug","Electric",5,FALSE,FALSE,FALSE,NA,NA,"バチュル","Bachuru","Bachuru","Wattzapf","Statitik",NA,NA,"파쪼옥","Pajjook","P'atchook","Pazzouok","電電蟲","电电虫","Diàndiànchóng","Dihndihnchùhng","-",NA,NA,"Джолтик","Dzholtik","บาชูรุ","Bachuru","बिज़ॉर्ब","Bizŏrb","Bizorb"
596,"Galvantula",NA,NA,"Bug","Electric",5,FALSE,FALSE,FALSE,NA,NA,"デンチュラ","Denchura","Dentula","Voltula","Mygavolt",NA,NA,"전툴라","Jeontulla","Chŏnt'ulla","Jeontula","電蜘蛛","电蜘蛛","Diànzhīzhū","Dihnjījyū","-",NA,NA,"Галвантула","Galvantula","เดนทูลา","Denthula","टरैंट्रिका","Ṭaraiṇṭrikā","Tarantricka"
597,"Ferroseed",NA,NA,"Grass","Steel",5,FALSE,FALSE,FALSE,NA,NA,"テッシード","Tesshīdo","Tesseed","Kastadur","Grindur",NA,NA,"철시드","Cheolsideu","Ch'ŏlsidŭ","Cheolseed","種子鐵球","种子铁球","Zhǒngzǐtiěqiú","Júngjítitkàuh","-",NA,NA,"Ферросид","Ferrosid","เทสซีด","Thetsit","लौसीडो","Lausīḍo","Lauseedo"
598,"Ferrothorn",NA,NA,"Grass","Steel",5,FALSE,FALSE,FALSE,NA,NA,"ナットレイ","Nattorei","Nutrey","Tentantel","Noacier",NA,NA,"너트령","Neoteuryeong","Nŏt'ŭryŏng","Nutryung","堅果啞鈴","坚果哑铃","Jiānguǒyǎlíng","Gīngwó'álìhng","-",NA,NA,"Ферроторн","Ferrotorn","นัทเทรย์","Natthen","डंबलनट","Ḍambalnaṭ","Dumbbellnut"
599,"Klink",NA,NA,"Steel",NA,5,FALSE,FALSE,FALSE,NA,NA,"ギアル","Giaru","Giaru","Klikk","Tic",NA,NA,"기어르","Gieoreu","Kiŏrŭ","Giaru","齒輪兒","齿轮儿","Chǐlún'ér","Chílèuhn'yìh","-",NA,NA,"Клинк","Klink","เกียร์","Kia","गेरारी","Gerārī","Geraree"
600,"Klang",NA,NA,"Steel",NA,5,FALSE,FALSE,FALSE,NA,NA,"ギギアル","Gigiaru","Gigiaru","Kliklak","Clic",NA,NA,"기기어르","Gigieoreu","Kigiŏrŭ","Gigiaru","齒輪組","齿轮组","Chǐlúnzǔ","Chílèuhnjóu","-",NA,NA,"Кланг","Klang","กิเกียร์","Kikia","गेरारीरी","Gerārīrī","Gerareeree"
601,"Klinklang",NA,NA,"Steel",NA,5,FALSE,FALSE,FALSE,NA,NA,"ギギギアル","Gigigiaru","Gigigiaru","Klikdiklak","Cliticlic",NA,NA,"기기기어르","Gigigieoreu","Kigigiŏrŭ","Gigigiaru","齒輪怪","齿轮怪","Chǐlúnguài","Chílèuhn'gwaai","-",NA,NA,"Клинкланг","Klinklang","กิกิเกียร์","Kikikia","गेरारीरीरी","Gerārīrīrī","Gerareereeree"
602,"Tynamo",NA,NA,"Electric",NA,5,FALSE,FALSE,FALSE,NA,NA,"シビシラス","Shibishirasu","Shibishirasu","Zapplardin","Anchwatt",NA,NA,"저리어","Jeorieo","Chŏriŏ","Jeorieo","麻麻小魚","麻麻小鱼","Mámáxiǎoyú","Màhmàhsíuyùh","-",NA,NA,"Тинамо","Tinamo","ชิบิชิราซึ","Chibichirasue","लकवारा","Lakvārā","Luckvara"
603,"Eelektrik",NA,NA,"Electric",NA,5,FALSE,FALSE,FALSE,NA,NA,"シビビール","Shibibīru","Shibibeel","Zapplalek","Lampéroie",NA,NA,"저리릴","Jeoriril","Chŏriril","Jeoriril","麻麻鰻","麻麻鳗","Mámámán","Màhmàhmàahn","-",NA,NA,"Электрик","Elektrik","ชิบิบีล","Chibibin","ईलेक्वा","Īlekvā","Eelekva"
604,"Eelektross",NA,NA,"Electric",NA,5,FALSE,FALSE,FALSE,NA,NA,"シビルドン","Shibirudon","Shibirudon","Zapplarang","Ohmassacre",NA,NA,"저리더프","Jeorideopeu","Chŏridŏpŭ","Jeorideof","麻麻鰻魚王","麻麻鳗鱼王","Mámámányúwáng","Màhmàhmàahnyùhwòhng","-",NA,NA,"Электросс","Elektross","ชิบิรูดอน","Chibirudon","ईलेक्वाडर","Īlekvāḍar","Eelekvadar"
605,"Elgyem",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"リグレー","Rigurē","Ligray","Pygraulon","Lewsor",NA,NA,"리그레","Rigeure","Rigŭre","Ligray","小灰怪","小灰怪","Xiǎohuīguài","Síufūigwaai","-",NA,NA,"Элгием","Elgiyem","ลีเกรย์","Likre","एलीग्रे","Elīgre","Eligray"
606,"Beheeyem",NA,NA,"Psychic",NA,5,FALSE,FALSE,FALSE,NA,NA,"オーベム","Ōbemu","Ohbem","Megalon","Neitram",NA,NA,"벰크","Bemkeu","Pemk'ŭ","Bemk","大宇怪","大宇怪","Dàyǔguài","Daaihyúhgwaai","-",NA,NA,"Бехийем","Bekhiyem","โอเบ็ม","Obem","बिगाईयन","Bigāīyan","Bigeyean"
607,"Litwick",NA,NA,"Ghost","Fire",5,FALSE,FALSE,FALSE,NA,NA,"ヒトモシ","Hitomoshi","Hitomoshi","Lichtel","Funécire",NA,NA,"불켜미","Bulkyeomi","Pulk'yŏmi","Bulkyeomi","燭光靈","烛光灵","Zhúguānglíng","Jūkgwōnglìhng","-",NA,NA,"Литвик","Litvik","ฮิโตโมชิ","Hitomochi","मोबाति","Mobāti","Mobati"
608,"Lampent",NA,NA,"Ghost","Fire",5,FALSE,FALSE,FALSE,NA,NA,"ランプラー","Ranpurā","Lampler","Laternecto","Mélancolux",NA,NA,"램프라","Raempeura","Raempŭra","Lampler","燈火幽靈","灯火幽灵","Dēnghuǒyōulíng","Dāngfóyāulìhng","-",NA,NA,"Лампент","Lampent","แลมพูลา","Laemphula","लौमटेन","Laumṭen","Laumten"
609,"Chandelure",NA,NA,"Ghost","Fire",5,FALSE,FALSE,FALSE,NA,NA,"シャンデラ","Shandera","Chandela","Skelabra","Lugulabre",NA,NA,"샹델라","Syangdella","Syangdella","Chandela","水晶燈火靈","水晶灯火灵","Shuǐjīngdēnghuǒlíng","Séuijīngdāngfólìhng","-",NA,NA,"Шанделюр","Shandelyur","แชนเดลา","Chaendela","झूमड्रेला","Jhūmaḍrelā","Jhoomdrela"
610,"Axew",NA,NA,"Dragon",NA,5,FALSE,FALSE,FALSE,NA,NA,"キバゴ","Kibago","Kibago","Milza","Coupenotte",NA,NA,"터검니","Teogeomni","T'ŏgŏmni","Teogeomni","牙牙","牙牙","Yáyá","Ngàhngàh","-",NA,NA,"Эксью","Eks'yu","คิบาโกะ","Khibako","फ़ैंगजॉ","Faiṅgjŏ","Fangjaw"
611,"Fraxure",NA,NA,"Dragon",NA,5,FALSE,FALSE,FALSE,NA,NA,"オノンド","Onondo","Onondo","Sharfax","Incisache",NA,NA,"액슨도","Aekseundo","Aeksŭndo","Axndo","斧牙龍","斧牙龙","Fǔyálóng","Fúngàhlùhng","-",NA,NA,"Фрэкшур","Frekshur","โอโนนโดะ","Onondo","कुल्ड्राडी","Kulḍrāḍī","Kuldradee"
612,"Haxorus",NA,NA,"Dragon",NA,5,FALSE,FALSE,FALSE,NA,NA,"オノノクス","Ononokusu","Ononokus","Maxax","Tranchodon",NA,NA,"액스라이즈","Aekseuraijeu","Aeksŭraijŭ","Axrise","雙斧戰龍","双斧战龙","Shuāngfǔzhànlóng","Sēungfújinlùhng","-",NA,NA,"Хаксорус","Khaksorus","โอโนโนคุส","Ononokhut","कुल्ड्राडर","Kulḍrāḍar","Kuldradar"
613,"Cubchoo",NA,NA,"Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,"クマシュン","Kumashun","Kumasyun","Petznief","Polarhume",NA,NA,"코고미","Kogomi","K'ogomi","Kogomi","噴嚏熊","喷嚏熊","Pēntìxióng","Pantaihùhng","-",NA,NA,"Кабчу","Kabchu","คูมะชุน","Khumachun","रीच्छू","Rīcchū","Richchhoo"
614,"Beartic",NA,NA,"Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,"ツンベアー","Tsunbeā","Tunbear","Siberio","Polagriffe",NA,NA,"툰베어","Tunbeeo","T'unbeŏ","Tunbear","凍原熊","冻原熊","Dòngyuánxióng","Dungyúhnhùhng","-",NA,NA,"Бертик","Bertik","ทันแบร์","Thanbae","बेयरटिक","Beyarṭik","Beartic"
615,"Cryogonal",NA,NA,"Ice",NA,5,FALSE,FALSE,FALSE,NA,NA,"フリージオ","Furījio","Freegeo","Frigometri","Hexagel",NA,NA,"프리지오","Peurijio","P'ŭrijio","Freegeo","幾何雪花","几何雪花","Jǐhéxuěhuā","Géihòhsyutfā","-",NA,NA,"Криогонал","Kriogonal","ฟรีจิโอ","Frichio","फ़्रिज़ोमेट्री","Frizomeṭrī","Freezometry"
616,"Shelmet",NA,NA,"Bug",NA,5,FALSE,FALSE,FALSE,NA,NA,"チョボマキ","Chobomaki","Chobomaki","Schnuthelm","Escargaume",NA,NA,"쪼마리","Jjomari","Tchomari","Jjomari","小嘴蝸","小嘴蜗","XiǎozuǐguāXiǎozuǐwō","Síujéuiwō","-",NA,NA,"Шелмет","Shelmet","โชโบมากิ","Chobomaki","शेलमेट","Śelmeṭ","Shelmet"
