"ndex","name","form","MegaOrPrimal","Mega","HP_I","HP_VI","HP_VII","HP_VIII","HP_IX","HP_II-V","Attack_I","Attack_VI","Attack_VII","Attack_VIII","Attack_IX","Attack_II-V","Defense_I","Defense_VI","Defense_VII","Defense_VIII","Defense_IX","Defense_II-V","Speed_I","Speed_VI","Speed_VII","Speed_VIII","Speed_IX","Speed_II-V","Special_I","Special_VI","Special_VII","Special_VIII","Special_IX","Special_II-V","Total_I","Total_VI","Total_VII","Total_VIII","Total_IX","Total_II-V","Average_I","Average_VI","Average_VII","Average_VIII","Average_IX","Average_II-V","SpAttack_I","SpAttack_VI","SpAttack_VII","SpAttack_VIII","SpAttack_IX","SpAttack_II-V","SpDefense_I","SpDefense_VI","SpDefense_VII","SpDefense_VIII","SpDefense_IX","SpDefense_II-V"
567,"Archeops",NA,NA,NA,NA,75,75,75,75,75,NA,140,140,140,140,140,NA,65,65,65,65,65,NA,110,110,110,110,110,NA,NA,NA,NA,NA,NA,NA,567,567,567,567,567,NA,94.5,94.5,94.5,94.5,94.5,NA,112,112,112,112,112,NA,65,65,65,65,65
568,"Trubbish",NA,NA,NA,NA,50,50,50,50,50,NA,50,50,50,50,50,NA,62,62,62,62,62,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,329,329,329,329,329,NA,54.83,54.83,54.83,54.83,54.83,NA,40,40,40,40,40,NA,62,62,62,62,62
569,"Garbodor",NA,NA,NA,NA,80,80,80,80,80,NA,95,95,95,95,95,NA,82,82,82,82,82,NA,75,75,75,75,75,NA,NA,NA,NA,NA,NA,NA,474,474,474,474,474,NA,79,79,79,79,79,NA,60,60,60,60,60,NA,82,82,82,82,82
570,"Zorua",NA,NA,NA,NA,40,40,40,40,40,NA,65,65,65,65,65,NA,40,40,40,40,40,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,330,330,330,330,330,NA,55,55,55,55,55,NA,80,80,80,80,80,NA,40,40,40,40,40
571,"Zoroark",NA,NA,NA,NA,60,60,60,60,60,NA,105,105,105,105,105,NA,60,60,60,60,60,NA,105,105,105,105,105,NA,NA,NA,NA,NA,NA,NA,510,510,510,510,510,NA,85,85,85,85,85,NA,120,120,120,120,120,NA,60,60,60,60,60
572,"Minccino",NA,NA,NA,NA,55,55,55,55,55,NA,50,50,50,50,50,NA,40,40,40,40,40,NA,75,75,75,75,75,NA,NA,NA,NA,NA,NA,NA,300,300,300,300,300,NA,50,50,50,50,50,NA,40,40,40,40,40,NA,40,40,40,40,40
573,"Cinccino",NA,NA,NA,NA,75,75,75,75,75,NA,95,95,95,95,95,NA,60,60,60,60,60,NA,115,115,115,115,115,NA,NA,NA,NA,NA,NA,NA,470,470,470,470,470,NA,78.33,78.33,78.33,78.33,78.33,NA,65,65,65,65,65,NA,60,60,60,60,60
574,"Gothita",NA,NA,NA,NA,45,45,45,45,45,NA,30,30,30,30,30,NA,50,50,50,50,50,NA,45,45,45,45,45,NA,NA,NA,NA,NA,NA,NA,290,290,290,290,290,NA,48.33,48.33,48.33,48.33,48.33,NA,55,55,55,55,55,NA,65,65,65,65,65
575,"Gothorita",NA,NA,NA,NA,60,60,60,60,60,NA,45,45,45,45,45,NA,70,70,70,70,70,NA,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,390,390,390,390,390,NA,65,65,65,65,65,NA,75,75,75,75,75,NA,85,85,85,85,85
576,"Gothitelle",NA,NA,NA,NA,70,70,70,70,70,NA,55,55,55,55,55,NA,95,95,95,95,95,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,490,490,490,490,490,NA,81.67,81.67,81.67,81.67,81.67,NA,95,95,95,95,95,NA,110,110,110,110,110
577,"Solosis",NA,NA,NA,NA,45,45,45,45,45,NA,30,30,30,30,30,NA,40,40,40,40,40,NA,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,290,290,290,290,290,NA,48.33,48.33,48.33,48.33,48.33,NA,105,105,105,105,105,NA,50,50,50,50,50
578,"Duosion",NA,NA,NA,NA,65,65,65,65,65,NA,40,40,40,40,40,NA,50,50,50,50,50,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,370,370,370,370,370,NA,61.67,61.67,61.67,61.67,61.67,NA,125,125,125,125,125,NA,60,60,60,60,60
579,"Reuniclus",NA,NA,NA,NA,110,110,110,110,110,NA,65,65,65,65,65,NA,75,75,75,75,75,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,490,490,490,490,490,NA,81.67,81.67,81.67,81.67,81.67,NA,125,125,125,125,125,NA,85,85,85,85,85
580,"Ducklett",NA,NA,NA,NA,62,62,62,62,62,NA,44,44,44,44,44,NA,50,50,50,50,50,NA,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,305,305,305,305,305,NA,50.83,50.83,50.83,50.83,50.83,NA,44,44,44,44,44,NA,50,50,50,50,50
581,"Swanna",NA,NA,NA,NA,75,75,75,75,75,NA,87,87,87,87,87,NA,63,63,63,63,63,NA,98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,473,473,473,473,473,NA,78.83,78.83,78.83,78.83,78.83,NA,87,87,87,87,87,NA,63,63,63,63,63
582,"Vanillite",NA,NA,NA,NA,36,36,36,36,36,NA,50,50,50,50,50,NA,50,50,50,50,50,NA,44,44,44,44,44,NA,NA,NA,NA,NA,NA,NA,305,305,305,305,305,NA,50.83,50.83,50.83,50.83,50.83,NA,65,65,65,65,65,NA,60,60,60,60,60
583,"Vanillish",NA,NA,NA,NA,51,51,51,51,51,NA,65,65,65,65,65,NA,65,65,65,65,65,NA,59,59,59,59,59,NA,NA,NA,NA,NA,NA,NA,395,395,395,395,395,NA,65.83,65.83,65.83,65.83,65.83,NA,80,80,80,80,80,NA,75,75,75,75,75
584,"Vanilluxe",NA,NA,NA,NA,71,71,71,71,71,NA,95,95,95,95,95,NA,85,85,85,85,85,NA,79,79,79,79,79,NA,NA,NA,NA,NA,NA,NA,535,535,535,535,535,NA,89.17,89.17,89.17,89.17,89.17,NA,110,110,110,110,110,NA,95,95,95,95,95
585,"Deerling",NA,NA,NA,NA,60,60,60,60,60,NA,60,60,60,60,60,NA,50,50,50,50,50,NA,75,75,75,75,75,NA,NA,NA,NA,NA,NA,NA,335,335,335,335,335,NA,55.83,55.83,55.83,55.83,55.83,NA,40,40,40,40,40,NA,50,50,50,50,50
586,"Sawsbuck",NA,NA,NA,NA,80,80,80,80,80,NA,100,100,100,100,100,NA,70,70,70,70,70,NA,95,95,95,95,95,NA,NA,NA,NA,NA,NA,NA,475,475,475,475,475,NA,79.17,79.17,79.17,79.17,79.17,NA,60,60,60,60,60,NA,70,70,70,70,70
587,"Emolga",NA,NA,NA,NA,55,55,55,55,55,NA,75,75,75,75,75,NA,60,60,60,60,60,NA,103,103,103,103,103,NA,NA,NA,NA,NA,NA,NA,428,428,428,428,428,NA,71.33,71.33,71.33,71.33,71.33,NA,75,75,75,75,75,NA,60,60,60,60,60
588,"Karrablast",NA,NA,NA,NA,50,50,50,50,50,NA,75,75,75,75,75,NA,45,45,45,45,45,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,315,315,315,315,315,NA,52.5,52.5,52.5,52.5,52.5,NA,40,40,40,40,40,NA,45,45,45,45,45
589,"Escavalier",NA,NA,NA,NA,70,70,70,70,70,NA,135,135,135,135,135,NA,105,105,105,105,105,NA,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,495,495,495,495,495,NA,82.5,82.5,82.5,82.5,82.5,NA,60,60,60,60,60,NA,105,105,105,105,105
590,"Foongus",NA,NA,NA,NA,69,69,69,69,69,NA,55,55,55,55,55,NA,45,45,45,45,45,NA,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,294,NA,49,49,49,49,49,NA,55,55,55,55,55,NA,55,55,55,55,55
591,"Amoonguss",NA,NA,NA,NA,114,114,114,114,114,NA,85,85,85,85,85,NA,70,70,70,70,70,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,464,464,464,464,464,NA,77.33,77.33,77.33,77.33,77.33,NA,85,85,85,85,85,NA,80,80,80,80,80
592,"Frillish",NA,NA,NA,NA,55,55,55,55,55,NA,40,40,40,40,40,NA,50,50,50,50,50,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,335,335,335,335,335,NA,55.83,55.83,55.83,55.83,55.83,NA,65,65,65,65,65,NA,85,85,85,85,85
593,"Jellicent",NA,NA,NA,NA,100,100,100,100,100,NA,60,60,60,60,60,NA,70,70,70,70,70,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,480,480,480,480,480,NA,80,80,80,80,80,NA,85,85,85,85,85,NA,105,105,105,105,105
594,"Alomomola",NA,NA,NA,NA,165,165,165,165,165,NA,75,75,75,75,75,NA,80,80,80,80,80,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,470,470,470,470,470,NA,78.33,78.33,78.33,78.33,78.33,NA,40,40,40,40,40,NA,45,45,45,45,45
595,"Joltik",NA,NA,NA,NA,50,50,50,50,50,NA,47,47,47,47,47,NA,50,50,50,50,50,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,319,319,319,319,319,NA,53.17,53.17,53.17,53.17,53.17,NA,57,57,57,57,57,NA,50,50,50,50,50
596,"Galvantula",NA,NA,NA,NA,70,70,70,70,70,NA,77,77,77,77,77,NA,60,60,60,60,60,NA,108,108,108,108,108,NA,NA,NA,NA,NA,NA,NA,472,472,472,472,472,NA,78.67,78.67,78.67,78.67,78.67,NA,97,97,97,97,97,NA,60,60,60,60,60
597,"Ferroseed",NA,NA,NA,NA,44,44,44,44,44,NA,50,50,50,50,50,NA,91,91,91,91,91,NA,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,305,305,305,305,305,NA,50.83,50.83,50.83,50.83,50.83,NA,24,24,24,24,24,NA,86,86,86,86,86
598,"Ferrothorn",NA,NA,NA,NA,74,74,74,74,74,NA,94,94,94,94,94,NA,131,131,131,131,131,NA,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,489,489,489,489,489,NA,81.5,81.5,81.5,81.5,81.5,NA,54,54,54,54,54,NA,116,116,116,116,116
599,"Klink",NA,NA,NA,NA,40,40,40,40,40,NA,55,55,55,55,55,NA,70,70,70,70,70,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,300,300,300,300,300,NA,50,50,50,50,50,NA,45,45,45,45,45,NA,60,60,60,60,60
600,"Klang",NA,NA,NA,NA,60,60,60,60,60,NA,80,80,80,80,80,NA,95,95,95,95,95,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,440,440,440,440,440,NA,73.33,73.33,73.33,73.33,73.33,NA,70,70,70,70,70,NA,85,85,85,85,85
601,"Klinklang",NA,NA,NA,NA,60,60,60,60,60,NA,100,100,100,100,100,NA,115,115,115,115,115,NA,90,90,90,90,90,NA,NA,NA,NA,NA,NA,NA,520,520,520,520,520,NA,86.67,86.67,86.67,86.67,86.67,NA,70,70,70,70,70,NA,85,85,85,85,85
602,"Tynamo",NA,NA,NA,NA,35,35,35,35,35,NA,55,55,55,55,55,NA,40,40,40,40,40,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,275,275,275,275,275,NA,45.83,45.83,45.83,45.83,45.83,NA,45,45,45,45,45,NA,40,40,40,40,40
603,"Eelektrik",NA,NA,NA,NA,65,65,65,65,65,NA,85,85,85,85,85,NA,70,70,70,70,70,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,405,405,405,405,405,NA,67.5,67.5,67.5,67.5,67.5,NA,75,75,75,75,75,NA,70,70,70,70,70
604,"Eelektross",NA,NA,NA,NA,85,85,85,85,85,NA,115,115,115,115,115,NA,80,80,80,80,80,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,515,515,515,515,515,NA,85.83,85.83,85.83,85.83,85.83,NA,105,105,105,105,105,NA,80,80,80,80,80
605,"Elgyem",NA,NA,NA,NA,55,55,55,55,55,NA,55,55,55,55,55,NA,55,55,55,55,55,NA,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA,335,335,335,335,335,NA,55.83,55.83,55.83,55.83,55.83,NA,85,85,85,85,85,NA,55,55,55,55,55
606,"Beheeyem",NA,NA,NA,NA,75,75,75,75,75,NA,75,75,75,75,75,NA,75,75,75,75,75,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,485,485,485,485,485,NA,80.83,80.83,80.83,80.83,80.83,NA,125,125,125,125,125,NA,95,95,95,95,95
607,"Litwick",NA,NA,NA,NA,50,50,50,50,50,NA,30,30,30,30,30,NA,55,55,55,55,55,NA,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,275,275,275,275,275,NA,45.83,45.83,45.83,45.83,45.83,NA,65,65,65,65,65,NA,55,55,55,55,55
608,"Lampent",NA,NA,NA,NA,60,60,60,60,60,NA,40,40,40,40,40,NA,60,60,60,60,60,NA,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,370,370,370,370,370,NA,61.67,61.67,61.67,61.67,61.67,NA,95,95,95,95,95,NA,60,60,60,60,60
609,"Chandelure",NA,NA,NA,NA,60,60,60,60,60,NA,55,55,55,55,55,NA,90,90,90,90,90,NA,80,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,520,520,520,520,520,NA,86.67,86.67,86.67,86.67,86.67,NA,145,145,145,145,145,NA,90,90,90,90,90
610,"Axew",NA,NA,NA,NA,46,46,46,46,46,NA,87,87,87,87,87,NA,60,60,60,60,60,NA,57,57,57,57,57,NA,NA,NA,NA,NA,NA,NA,320,320,320,320,320,NA,53.33,53.33,53.33,53.33,53.33,NA,30,30,30,30,30,NA,40,40,40,40,40
611,"Fraxure",NA,NA,NA,NA,66,66,66,66,66,NA,117,117,117,117,117,NA,70,70,70,70,70,NA,67,67,67,67,67,NA,NA,NA,NA,NA,NA,NA,410,410,410,410,410,NA,68.33,68.33,68.33,68.33,68.33,NA,40,40,40,40,40,NA,50,50,50,50,50
612,"Haxorus",NA,NA,NA,NA,76,76,76,76,76,NA,147,147,147,147,147,NA,90,90,90,90,90,NA,97,97,97,97,97,NA,NA,NA,NA,NA,NA,NA,540,540,540,540,540,NA,90,90,90,90,90,NA,60,60,60,60,60,NA,70,70,70,70,70
613,"Cubchoo",NA,NA,NA,NA,55,55,55,55,55,NA,70,70,70,70,70,NA,40,40,40,40,40,NA,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,305,305,305,305,305,NA,50.83,50.83,50.83,50.83,50.83,NA,60,60,60,60,60,NA,40,40,40,40,40
614,"Beartic",NA,NA,NA,NA,95,95,95,95,95,NA,110,130,130,130,110,NA,80,80,80,80,80,NA,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,485,505,505,505,485,NA,80.83,84.17,84.17,84.17,80.83,NA,70,70,70,70,70,NA,80,80,80,80,80
615,"Cryogonal",NA,NA,NA,NA,70,80,80,80,70,NA,50,50,50,50,50,NA,30,50,50,50,30,NA,105,105,105,105,105,NA,NA,NA,NA,NA,NA,NA,485,515,515,515,485,NA,80.83,85.83,85.83,85.83,80.83,NA,95,95,95,95,95,NA,135,135,135,135,135
616,"Shelmet",NA,NA,NA,NA,50,50,50,50,50,NA,40,40,40,40,40,NA,85,85,85,85,85,NA,25,25,25,25,25,NA,NA,NA,NA,NA,NA,NA,305,305,305,305,305,NA,50.83,50.83,50.83,50.83,50.83,NA,40,40,40,40,40,NA,65,65,65,65,65
617,"Accelgor",NA,NA,NA,NA,80,80,80,80,80,NA,70,70,70,70,70,NA,40,40,40,40,40,NA,145,145,145,145,145,NA,NA,NA,NA,NA,NA,NA,495,495,495,495,495,NA,82.5,82.5,82.5,82.5,82.5,NA,100,100,100,100,100,NA,60,60,60,60,60
618,"Stunfisk",NA,NA,NA,NA,109,109,109,109,109,NA,66,66,66,66,66,NA,84,84,84,84,84,NA,32,32,32,32,32,NA,NA,NA,NA,NA,NA,NA,471,471,471,471,471,NA,78.5,78.5,78.5,78.5,78.5,NA,81,81,81,81,81,NA,99,99,99,99,99
619,"Mienfoo",NA,NA,NA,NA,45,45,45,45,45,NA,85,85,85,85,85,NA,50,50,50,50,50,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,350,350,350,350,350,NA,58.33,58.33,58.33,58.33,58.33,NA,55,55,55,55,55,NA,50,50,50,50,50
620,"Mienshao",NA,NA,NA,NA,65,65,65,65,65,NA,125,125,125,125,125,NA,60,60,60,60,60,NA,105,105,105,105,105,NA,NA,NA,NA,NA,NA,NA,510,510,510,510,510,NA,85,85,85,85,85,NA,95,95,95,95,95,NA,60,60,60,60,60
621,"Druddigon",NA,NA,NA,NA,77,77,77,77,77,NA,120,120,120,120,120,NA,90,90,90,90,90,NA,48,48,48,48,48,NA,NA,NA,NA,NA,NA,NA,485,485,485,485,485,NA,80.83,80.83,80.83,80.83,80.83,NA,60,60,60,60,60,NA,90,90,90,90,90
622,"Golett",NA,NA,NA,NA,59,59,59,59,59,NA,74,74,74,74,74,NA,50,50,50,50,50,NA,35,35,35,35,35,NA,NA,NA,NA,NA,NA,NA,303,303,303,303,303,NA,50.5,50.5,50.5,50.5,50.5,NA,35,35,35,35,35,NA,50,50,50,50,50
623,"Golurk",NA,NA,NA,NA,89,89,89,89,89,NA,124,124,124,124,124,NA,80,80,80,80,80,NA,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,483,483,483,483,483,NA,80.5,80.5,80.5,80.5,80.5,NA,55,55,55,55,55,NA,80,80,80,80,80
624,"Pawniard",NA,NA,NA,NA,45,45,45,45,45,NA,85,85,85,85,85,NA,70,70,70,70,70,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,340,340,340,340,340,NA,56.67,56.67,56.67,56.67,56.67,NA,40,40,40,40,40,NA,40,40,40,40,40
625,"Bisharp",NA,NA,NA,NA,65,65,65,65,65,NA,125,125,125,125,125,NA,100,100,100,100,100,NA,70,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,490,490,490,490,490,NA,81.67,81.67,81.67,81.67,81.67,NA,60,60,60,60,60,NA,70,70,70,70,70
626,"Bouffalant",NA,NA,NA,NA,95,95,95,95,95,NA,110,110,110,110,110,NA,95,95,95,95,95,NA,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,490,490,490,490,490,NA,81.67,81.67,81.67,81.67,81.67,NA,40,40,40,40,40,NA,95,95,95,95,95
627,"Rufflet",NA,NA,NA,NA,70,70,70,70,70,NA,83,83,83,83,83,NA,50,50,50,50,50,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,350,350,350,350,350,NA,58.33,58.33,58.33,58.33,58.33,NA,37,37,37,37,37,NA,50,50,50,50,50
628,"Braviary",NA,NA,NA,NA,100,100,100,100,100,NA,123,123,123,123,123,NA,75,75,75,75,75,NA,80,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,510,510,510,510,510,NA,85,85,85,85,85,NA,57,57,57,57,57,NA,75,75,75,75,75
629,"Vullaby",NA,NA,NA,NA,70,70,70,70,70,NA,55,55,55,55,55,NA,75,75,75,75,75,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,370,370,370,370,370,NA,61.67,61.67,61.67,61.67,61.67,NA,45,45,45,45,45,NA,65,65,65,65,65
630,"Mandibuzz",NA,NA,NA,NA,110,110,110,110,110,NA,65,65,65,65,65,NA,105,105,105,105,105,NA,80,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,510,510,510,510,510,NA,85,85,85,85,85,NA,55,55,55,55,55,NA,95,95,95,95,95
631,"Heatmor",NA,NA,NA,NA,85,85,85,85,85,NA,97,97,97,97,97,NA,66,66,66,66,66,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,484,484,484,484,484,NA,80.67,80.67,80.67,80.67,80.67,NA,105,105,105,105,105,NA,66,66,66,66,66
632,"Durant",NA,NA,NA,NA,58,58,58,58,58,NA,109,109,109,109,109,NA,112,112,112,112,112,NA,109,109,109,109,109,NA,NA,NA,NA,NA,NA,NA,484,484,484,484,484,NA,80.67,80.67,80.67,80.67,80.67,NA,48,48,48,48,48,NA,48,48,48,48,48
633,"Deino",NA,NA,NA,NA,52,52,52,52,52,NA,65,65,65,65,65,NA,50,50,50,50,50,NA,38,38,38,38,38,NA,NA,NA,NA,NA,NA,NA,300,300,300,300,300,NA,50,50,50,50,50,NA,45,45,45,45,45,NA,50,50,50,50,50
634,"Zweilous",NA,NA,NA,NA,72,72,72,72,72,NA,85,85,85,85,85,NA,70,70,70,70,70,NA,58,58,58,58,58,NA,NA,NA,NA,NA,NA,NA,420,420,420,420,420,NA,70,70,70,70,70,NA,65,65,65,65,65,NA,70,70,70,70,70
635,"Hydreigon",NA,NA,NA,NA,92,92,92,92,92,NA,105,105,105,105,105,NA,90,90,90,90,90,NA,98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,125,125,125,125,125,NA,90,90,90,90,90
636,"Larvesta",NA,NA,NA,NA,55,55,55,55,55,NA,85,85,85,85,85,NA,55,55,55,55,55,NA,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,360,360,360,360,360,NA,60,60,60,60,60,NA,50,50,50,50,50,NA,55,55,55,55,55
637,"Volcarona",NA,NA,NA,NA,85,85,85,85,85,NA,60,60,60,60,60,NA,65,65,65,65,65,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,550,550,550,550,550,NA,91.67,91.67,91.67,91.67,91.67,NA,135,135,135,135,135,NA,105,105,105,105,105
638,"Cobalion",NA,NA,NA,NA,91,91,91,91,91,NA,90,90,90,90,90,NA,129,129,129,129,129,NA,108,108,108,108,108,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,90,90,90,90,90,NA,72,72,72,72,72
639,"Terrakion",NA,NA,NA,NA,91,91,91,91,91,NA,129,129,129,129,129,NA,90,90,90,90,90,NA,108,108,108,108,108,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,72,72,72,72,72,NA,90,90,90,90,90
640,"Virizion",NA,NA,NA,NA,91,91,91,91,91,NA,90,90,90,90,90,NA,72,72,72,72,72,NA,108,108,108,108,108,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,90,90,90,90,90,NA,129,129,129,129,129
641,"Tornadus","Incarnate Forme",NA,NA,NA,79,79,79,79,79,NA,115,115,115,115,115,NA,70,70,70,70,70,NA,111,111,111,111,111,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,125,125,125,125,125,NA,80,80,80,80,80
641,"Tornadus","Therian Forme",NA,NA,NA,79,79,79,79,79,NA,100,100,100,100,100,NA,80,80,80,80,80,NA,121,121,121,121,121,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,110,110,110,110,110,NA,90,90,90,90,90
642,"Thundurus","Incarnate Forme",NA,NA,NA,79,79,79,79,79,NA,115,115,115,115,115,NA,70,70,70,70,70,NA,111,111,111,111,111,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,125,125,125,125,125,NA,80,80,80,80,80
642,"Thundurus","Therian Forme",NA,NA,NA,79,79,79,79,79,NA,105,105,105,105,105,NA,70,70,70,70,70,NA,101,101,101,101,101,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,145,145,145,145,145,NA,80,80,80,80,80
643,"Reshiram",NA,NA,NA,NA,100,100,100,100,100,NA,120,120,120,120,120,NA,100,100,100,100,100,NA,90,90,90,90,90,NA,NA,NA,NA,NA,NA,NA,680,680,680,680,680,NA,113.33,113.33,113.33,113.33,113.33,NA,150,150,150,150,150,NA,120,120,120,120,120
644,"Zekrom",NA,NA,NA,NA,100,100,100,100,100,NA,150,150,150,150,150,NA,120,120,120,120,120,NA,90,90,90,90,90,NA,NA,NA,NA,NA,NA,NA,680,680,680,680,680,NA,113.33,113.33,113.33,113.33,113.33,NA,120,120,120,120,120,NA,100,100,100,100,100
645,"Landorus","Incarnate Forme",NA,NA,NA,89,89,89,89,89,NA,125,125,125,125,125,NA,90,90,90,90,90,NA,101,101,101,101,101,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,115,115,115,115,115,NA,80,80,80,80,80
645,"Landorus","Therian Forme",NA,NA,NA,89,89,89,89,89,NA,145,145,145,145,145,NA,90,90,90,90,90,NA,91,91,91,91,91,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,105,105,105,105,105,NA,80,80,80,80,80
646,"Kyurem",NA,NA,NA,NA,125,125,125,125,125,NA,130,130,130,130,130,NA,90,90,90,90,90,NA,95,95,95,95,95,NA,NA,NA,NA,NA,NA,NA,660,660,660,660,660,NA,110,110,110,110,110,NA,130,130,130,130,130,NA,90,90,90,90,90
646,"Kyurem","Black Kyurem",NA,NA,NA,125,125,125,125,125,NA,170,170,170,170,170,NA,100,100,100,100,100,NA,95,95,95,95,95,NA,NA,NA,NA,NA,NA,NA,700,700,700,700,700,NA,116.67,116.67,116.67,116.67,116.67,NA,120,120,120,120,120,NA,90,90,90,90,90
646,"Kyurem","White Kyurem",NA,NA,NA,125,125,125,125,125,NA,120,120,120,120,120,NA,90,90,90,90,90,NA,95,95,95,95,95,NA,NA,NA,NA,NA,NA,NA,700,700,700,700,700,NA,116.67,116.67,116.67,116.67,116.67,NA,170,170,170,170,170,NA,100,100,100,100,100
647,"Keldeo",NA,NA,NA,NA,91,91,91,91,91,NA,72,72,72,72,72,NA,90,90,90,90,90,NA,108,108,108,108,108,NA,NA,NA,NA,NA,NA,NA,580,580,580,580,580,NA,96.67,96.67,96.67,96.67,96.67,NA,129,129,129,129,129,NA,90,90,90,90,90
648,"Meloetta","Aria Forme",NA,NA,NA,100,100,100,100,100,NA,77,77,77,77,77,NA,77,77,77,77,77,NA,90,90,90,90,90,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,128,128,128,128,128,NA,128,128,128,128,128
648,"Meloetta","Pirouette Forme",NA,NA,NA,100,100,100,100,100,NA,128,128,128,128,128,NA,90,90,90,90,90,NA,128,128,128,128,128,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,77,77,77,77,77,NA,77,77,77,77,77
649,"Genesect",NA,NA,NA,NA,71,71,71,71,71,NA,120,120,120,120,120,NA,95,95,95,95,95,NA,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,NA,100,100,100,100,100,NA,120,120,120,120,120,NA,95,95,95,95,95
650,"Chespin",NA,NA,NA,NA,56,56,56,56,NA,NA,61,61,61,61,NA,NA,65,65,65,65,NA,NA,38,38,38,38,NA,NA,NA,NA,NA,NA,NA,NA,313,313,313,313,NA,NA,52.17,52.17,52.17,52.17,NA,NA,48,48,48,48,NA,NA,45,45,45,45,NA
651,"Quilladin",NA,NA,NA,NA,61,61,61,61,NA,NA,78,78,78,78,NA,NA,95,95,95,95,NA,NA,57,57,57,57,NA,NA,NA,NA,NA,NA,NA,NA,405,405,405,405,NA,NA,67.5,67.5,67.5,67.5,NA,NA,56,56,56,56,NA,NA,58,58,58,58,NA
